InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,customer_known,is_return,revenue
536406,22803,IVORY EMBROIDERED QUILT,2,2010-01-12 11:33:00,35.75,17850,UNITED KINGDOM,True,False,71.5
536412,22968,ROSE COTTAGE KEEPSAKE BOX,4,2010-01-12 11:49:00,9.95,17920,UNITED KINGDOM,True,False,39.8
536415,22942,CHRISTMAS LIGHTS 10 SANTAS,3,2010-01-12 11:57:00,8.5,12838,UNITED KINGDOM,True,False,25.5
536415,22941,CHRISTMAS LIGHTS 10 REINDEER,3,2010-01-12 11:57:00,8.5,12838,UNITED KINGDOM,True,False,25.5
536416,22768,FAMILY PHOTO FRAME CORNICE,4,2010-01-12 11:58:00,9.95,13255,UNITED KINGDOM,True,False,39.8
536416,22767,TRIPLE PHOTO FRAME CORNICE,4,2010-01-12 11:58:00,9.95,13255,UNITED KINGDOM,True,False,39.8
536425,22768,FAMILY PHOTO FRAME CORNICE,2,2010-01-12 12:08:00,9.95,13758,UNITED KINGDOM,True,False,19.9
536425,22829,SWEETHEART WIRE WALL TIDY,2,2010-01-12 12:08:00,9.95,13758,UNITED KINGDOM,True,False,19.9
536446,22618,COOKING SET RETROSPOT,2,2010-01-12 12:15:00,9.95,15983,UNITED KINGDOM,True,False,19.9
536477,22423,REGENCY CAKESTAND 3 TIER,16,2010-01-12 12:27:00,10.95,16210,UNITED KINGDOM,True,False,175.2
536488,21621,VINTAGE UNION JACK BUNTING,1,2010-01-12 12:31:00,8.5,17897,UNITED KINGDOM,True,False,8.5
536502,22423,REGENCY CAKESTAND 3 TIER,2,2010-01-12 12:36:00,12.75,16552,UNITED KINGDOM,True,False,25.5
536514,22485,SET OF 2 WOODEN MARKET CRATES,4,2010-01-12 12:40:00,12.75,17951,UNITED KINGDOM,True,False,51.0
536520,22760,"TRAY, BREAKFAST IN BED",1,2010-01-12 12:43:00,12.75,14729,UNITED KINGDOM,True,False,12.75
536520,22501,PICNIC BASKET WICKER LARGE,1,2010-01-12 12:43:00,9.95,14729,UNITED KINGDOM,True,False,9.95
536522,22776,SWEETHEART CAKESTAND 3 TIER,1,2010-01-12 12:49:00,9.95,15012,UNITED KINGDOM,True,False,9.95
536522,84968C,SET OF 16 VINTAGE PISTACHIO CUTLERY,1,2010-01-12 12:49:00,12.75,15012,UNITED KINGDOM,True,False,12.75
536522,22941,CHRISTMAS LIGHTS 10 REINDEER,1,2010-01-12 12:49:00,8.5,15012,UNITED KINGDOM,True,False,8.5
536525,22423,REGENCY CAKESTAND 3 TIER,2,2010-01-12 12:54:00,12.75,14078,UNITED KINGDOM,True,False,25.5
536526,22626,BLACK KITCHEN SCALES,2,2010-01-12 12:58:00,8.5,14001,UNITED KINGDOM,True,False,17.0
536526,22625,RED KITCHEN SCALES,6,2010-01-12 12:58:00,8.5,14001,UNITED KINGDOM,True,False,51.0
536526,22624,IVORY KITCHEN SCALES,6,2010-01-12 12:58:00,8.5,14001,UNITED KINGDOM,True,False,51.0
536527,POST,POSTAGE,1,2010-01-12 13:04:00,18.0,12662,GERMANY,True,False,18.0
536528,22839,3 TIER CAKE TIN GREEN AND CREAM,1,2010-01-12 13:17:00,14.95,15525,UNITED KINGDOM,True,False,14.95
536528,22423,REGENCY CAKESTAND 3 TIER,1,2010-01-12 13:17:00,12.75,15525,UNITED KINGDOM,True,False,12.75
536528,22607,WOODEN ROUNDERS GARDEN SET,1,2010-01-12 13:17:00,9.95,15525,UNITED KINGDOM,True,False,9.95
536528,22635,CHILDS BREAKFAST SET DOLLY GIRL,1,2010-01-12 13:17:00,9.95,15525,UNITED KINGDOM,True,False,9.95
536528,22634,CHILDS BREAKFAST SET SPACEBOY,1,2010-01-12 13:17:00,9.95,15525,UNITED KINGDOM,True,False,9.95
536528,22968,ROSE COTTAGE KEEPSAKE BOX,3,2010-01-12 13:17:00,9.95,15525,UNITED KINGDOM,True,False,29.849999999999998
536529,22947,WOODEN ADVENT CALENDAR RED,2,2010-01-12 13:20:00,16.95,14237,UNITED KINGDOM,True,False,33.9
536529,21258,VICTORIAN SEWING BOX LARGE,1,2010-01-12 13:20:00,12.75,14237,UNITED KINGDOM,True,False,12.75
536529,22627,MINT KITCHEN SCALES,2,2010-01-12 13:20:00,8.5,14237,UNITED KINGDOM,True,False,17.0
536529,22487,WHITE WOOD GARDEN PLANT LADDER,2,2010-01-12 13:20:00,9.95,14237,UNITED KINGDOM,True,False,19.9
536530,22941,CHRISTMAS LIGHTS 10 REINDEER,1,2010-01-12 13:21:00,8.5,17905,UNITED KINGDOM,True,False,8.5
536530,22120,WELCOME  WOODEN BLOCK LETTERS,1,2010-01-12 13:21:00,9.95,17905,UNITED KINGDOM,True,False,9.95
536530,22423,REGENCY CAKESTAND 3 TIER,1,2010-01-12 13:21:00,12.75,17905,UNITED KINGDOM,True,False,12.75
536530,22783,SET 3 WICKER OVAL BASKETS W LIDS,1,2010-01-12 13:21:00,19.95,17905,UNITED KINGDOM,True,False,19.95
536531,22194,BLACK DINER WALL CLOCK,2,2010-01-12 13:23:00,8.5,15485,UNITED KINGDOM,True,False,17.0
536531,22192,BLUE DINER WALL CLOCK,4,2010-01-12 13:23:00,8.5,15485,UNITED KINGDOM,True,False,34.0
536531,22193,RED DINER WALL CLOCK,4,2010-01-12 13:23:00,8.5,15485,UNITED KINGDOM,True,False,34.0
536531,22191,IVORY DINER WALL CLOCK,4,2010-01-12 13:23:00,8.5,15485,UNITED KINGDOM,True,False,34.0
536531,22768,FAMILY PHOTO FRAME CORNICE,6,2010-01-12 13:23:00,9.95,15485,UNITED KINGDOM,True,False,59.699999999999996
536533,22797,CHEST OF DRAWERS GINGHAM HEART,3,2010-01-12 13:31:00,16.95,16955,UNITED KINGDOM,True,False,50.849999999999994
536533,21843,RED RETROSPOT CAKE STAND,1,2010-01-12 13:31:00,10.95,16955,UNITED KINGDOM,True,False,10.95
536537,22423,REGENCY CAKESTAND 3 TIER,2,2010-01-12 13:51:00,12.75,15922,UNITED KINGDOM,True,False,25.5
536538,22752,SET 7 BABUSHKA NESTING BOXES,2,2010-01-12 13:54:00,8.5,14594,UNITED KINGDOM,True,False,17.0
536539,22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,2,2010-01-12 14:03:00,8.5,15165,UNITED KINGDOM,True,False,17.0
536539,85067,CREAM SWEETHEART WALL CABINET,1,2010-01-12 14:03:00,18.95,15165,UNITED KINGDOM,True,False,18.95
536539,22423,REGENCY CAKESTAND 3 TIER,2,2010-01-12 14:03:00,12.75,15165,UNITED KINGDOM,True,False,25.5
536540,22968,ROSE COTTAGE KEEPSAKE BOX,4,2010-01-12 14:05:00,9.95,14911,EIRE,True,False,39.8
536540,21055,TOOL BOX SOFT TOY,4,2010-01-12 14:05:00,8.95,14911,EIRE,True,False,35.8
536540,21056,DOCTOR'S BAG SOFT TOY,4,2010-01-12 14:05:00,8.95,14911,EIRE,True,False,35.8
536540,22622,BOX OF VINTAGE ALPHABET BLOCKS,6,2010-01-12 14:05:00,9.95,14911,EIRE,True,False,59.699999999999996
536540,C2,CARRIAGE,1,2010-01-12 14:05:00,50.0,14911,EIRE,True,False,50.0
536544,21922,UNION STRIPE WITH FRINGE  HAMMOCK,2,2010-01-12 14:32:00,16.98,,UNITED KINGDOM,False,False,33.96
536544,22111,SCOTTIE DOG HOT WATER BOTTLE,2,2010-01-12 14:32:00,11.02,,UNITED KINGDOM,False,False,22.04
536544,22112,CHOCOLATE HOT WATER BOTTLE,2,2010-01-12 14:32:00,11.02,,UNITED KINGDOM,False,False,22.04
536544,22114,HOT WATER BOTTLE TEA AND SYMPATHY,3,2010-01-12 14:32:00,8.47,,UNITED KINGDOM,False,False,25.410000000000004
536544,22130,PARTY CONE CHRISTMAS DECORATION,2,2010-01-12 14:32:00,8.47,,UNITED KINGDOM,False,False,16.94
536544,22169,FAMILY ALBUM WHITE PICTURE FRAME,1,2010-01-12 14:32:00,16.98,,UNITED KINGDOM,False,False,16.98
536544,22189,CREAM HEART CARD HOLDER,1,2010-01-12 14:32:00,8.47,,UNITED KINGDOM,False,False,8.47
536544,22207,FRYING PAN UNION FLAG,1,2010-01-12 14:32:00,8.47,,UNITED KINGDOM,False,False,8.47
536544,22357,KINGS CHOICE BISCUIT TIN,1,2010-01-12 14:32:00,8.47,,UNITED KINGDOM,False,False,8.47
536544,22371,AIRLINE BAG VINTAGE TOKYO 78,1,2010-01-12 14:32:00,8.47,,UNITED KINGDOM,False,False,8.47
536544,22375,AIRLINE BAG VINTAGE JET SET BROWN,2,2010-01-12 14:32:00,8.47,,UNITED KINGDOM,False,False,16.94
536544,22376,AIRLINE BAG VINTAGE JET SET WHITE,1,2010-01-12 14:32:00,8.47,,UNITED KINGDOM,False,False,8.47
536544,22423,REGENCY CAKESTAND 3 TIER,40,2010-01-12 14:32:00,12.72,,UNITED KINGDOM,False,False,508.8
536544,22430,ENAMEL WATERING CAN CREAM,1,2010-01-12 14:32:00,10.17,,UNITED KINGDOM,False,False,10.17
536544,22471,TV DINNER TRAY AIR HOSTESS,1,2010-01-12 14:32:00,11.02,,UNITED KINGDOM,False,False,11.02
536544,22476,EMPIRE UNION JACK TV DINNER TRAY,1,2010-01-12 14:32:00,11.02,,UNITED KINGDOM,False,False,11.02
536544,22487,WHITE WOOD GARDEN PLANT LADDER,1,2010-01-12 14:32:00,20.38,,UNITED KINGDOM,False,False,20.38
536544,22497,SET OF 2 TINS VINTAGE BATHROOM,2,2010-01-12 14:32:00,8.47,,UNITED KINGDOM,False,False,16.94
536544,22580,ADVENT CALENDAR GINGHAM SACK,1,2010-01-12 14:32:00,11.87,,UNITED KINGDOM,False,False,11.87
536544,22605,WOODEN CROQUET GARDEN SET,1,2010-01-12 14:32:00,25.49,,UNITED KINGDOM,False,False,25.49
536544,22625,RED KITCHEN SCALES,2,2010-01-12 14:32:00,16.98,,UNITED KINGDOM,False,False,33.96
536544,22635,CHILDS BREAKFAST SET DOLLY GIRL,1,2010-01-12 14:32:00,20.38,,UNITED KINGDOM,False,False,20.38
536544,22654,DELUXE SEWING KIT,1,2010-01-12 14:32:00,11.87,,UNITED KINGDOM,False,False,11.87
536544,22760,"TRAY, BREAKFAST IN BED",1,2010-01-12 14:32:00,25.49,,UNITED KINGDOM,False,False,25.49
536544,22769,CHALKBOARD KITCHEN ORGANISER,1,2010-01-12 14:32:00,51.02,,UNITED KINGDOM,False,False,51.02
536544,22822,CREAM WALL PLANTER HEART SHAPED,1,2010-01-12 14:32:00,12.72,,UNITED KINGDOM,False,False,12.72
536544,22835,HOT WATER BOTTLE I AM SO POORLY,4,2010-01-12 14:32:00,9.32,,UNITED KINGDOM,False,False,37.28
536544,22837,HOT WATER BOTTLE BABUSHKA,1,2010-01-12 14:32:00,9.32,,UNITED KINGDOM,False,False,9.32
536544,22844,VINTAGE CREAM DOG FOOD CONTAINER,1,2010-01-12 14:32:00,16.98,,UNITED KINGDOM,False,False,16.98
536544,22847,BREAD BIN DINER STYLE IVORY,1,2010-01-12 14:32:00,34.0,,UNITED KINGDOM,False,False,34.0
536544,22862,LOVE HEART NAPKIN BOX,1,2010-01-12 14:32:00,8.47,,UNITED KINGDOM,False,False,8.47
536544,22928,YELLOW GIANT GARDEN THERMOMETER,1,2010-01-12 14:32:00,11.87,,UNITED KINGDOM,False,False,11.87
536544,22940,FELTCRAFT CHRISTMAS FAIRY,2,2010-01-12 14:32:00,8.47,,UNITED KINGDOM,False,False,16.94
536544,22945,CHRISTMAS METAL TAGS ASSORTED,1,2010-01-12 14:32:00,11.02,,UNITED KINGDOM,False,False,11.02
536544,22960,JAM MAKING SET WITH JARS,7,2010-01-12 14:32:00,8.47,,UNITED KINGDOM,False,False,59.290000000000006
536544,37370,RETRO COFFEE MUGS ASSORTED,1,2010-01-12 14:32:00,16.13,,UNITED KINGDOM,False,False,16.13
536544,37449,CERAMIC CAKE STAND + HANGING CAKES,1,2010-01-12 14:32:00,21.23,,UNITED KINGDOM,False,False,21.23
536544,37476,CONDIMENT TRAY 4 BOWLS AND 4 SPOONS,1,2010-01-12 14:32:00,18.68,,UNITED KINGDOM,False,False,18.68
536544,48188,DOORMAT WELCOME PUPPIES,1,2010-01-12 14:32:00,14.43,,UNITED KINGDOM,False,False,14.43
536544,71053,WHITE METAL LANTERN,1,2010-01-12 14:32:00,8.47,,UNITED KINGDOM,False,False,8.47
536544,72807A,SET/3 ROSE CANDLE IN JEWELLED BOX,1,2010-01-12 14:32:00,8.47,,UNITED KINGDOM,False,False,8.47
536544,72807B,SET/3 OCEAN SCENT CANDLE JEWEL BOX,1,2010-01-12 14:32:00,8.47,,UNITED KINGDOM,False,False,8.47
536544,72807C,SET/3 VANILLA SCENTED CANDLE IN BOX,1,2010-01-12 14:32:00,8.47,,UNITED KINGDOM,False,False,8.47
536544,79030D,"TUMBLER, BAROQUE",1,2010-01-12 14:32:00,12.72,,UNITED KINGDOM,False,False,12.72
536544,79030G,"TUMBLER, NEW ENGLAND",1,2010-01-12 14:32:00,12.72,,UNITED KINGDOM,False,False,12.72
536544,79321,CHILLI LIGHTS,1,2010-01-12 14:32:00,10.17,,UNITED KINGDOM,False,False,10.17
536544,84279P,CHERRY BLOSSOM  DECORATIVE FLASK,1,2010-01-12 14:32:00,8.47,,UNITED KINGDOM,False,False,8.47
536544,85014B,RED RETROSPOT UMBRELLA,2,2010-01-12 14:32:00,12.72,,UNITED KINGDOM,False,False,25.44
536544,85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,1,2010-01-12 14:32:00,16.98,,UNITED KINGDOM,False,False,16.98
536544,85064,CREAM SWEETHEART LETTER RACK,1,2010-01-12 14:32:00,11.02,,UNITED KINGDOM,False,False,11.02
536544,85127,SMALL SQUARE CUT GLASS CANDLESTICK,2,2010-01-12 14:32:00,10.17,,UNITED KINGDOM,False,False,20.34
536544,85132A,CHARLIE + LOLA BISCUITS TINS,2,2010-01-12 14:32:00,8.47,,UNITED KINGDOM,False,False,16.94
536544,85135B,BLUE DRAGONFLY HELICOPTER,1,2010-01-12 14:32:00,8.47,,UNITED KINGDOM,False,False,8.47
536544,85135C,RED DRAGONFLY HELICOPTER,1,2010-01-12 14:32:00,8.47,,UNITED KINGDOM,False,False,8.47
536544,DOT,DOTCOM POSTAGE,1,2010-01-12 14:32:00,569.77,,UNITED KINGDOM,False,False,569.77
536544,22968,ROSE COTTAGE KEEPSAKE BOX,1,2010-01-12 14:32:00,9.95,,UNITED KINGDOM,False,False,9.95
536544,22844,VINTAGE CREAM DOG FOOD CONTAINER,2,2010-01-12 14:32:00,8.5,,UNITED KINGDOM,False,False,17.0
536544,20685,DOORMAT RED RETROSPOT,1,2010-01-12 14:32:00,14.43,,UNITED KINGDOM,False,False,14.43
536544,20835,FRENCH LATTICE CUSHION COVER,1,2010-01-12 14:32:00,11.02,,UNITED KINGDOM,False,False,11.02
536544,20839,FRENCH PAISLEY CUSHION COVER,1,2010-01-12 14:32:00,9.32,,UNITED KINGDOM,False,False,9.32
536544,20840,FRENCH FLORAL CUSHION COVER,1,2010-01-12 14:32:00,9.32,,UNITED KINGDOM,False,False,9.32
536544,20902,VINTAGE KEEPSAKE BOX PARIS DAYS,1,2010-01-12 14:32:00,12.72,,UNITED KINGDOM,False,False,12.72
536544,21115,ROSE CARAVAN DOORSTOP,1,2010-01-12 14:32:00,14.43,,UNITED KINGDOM,False,False,14.43
536544,21116,OWL DOORSTOP,1,2010-01-12 14:32:00,8.47,,UNITED KINGDOM,False,False,8.47
536544,21216,"SET 3 RETROSPOT TEA,COFFEE,SUGAR",1,2010-01-12 14:32:00,11.02,,UNITED KINGDOM,False,False,11.02
536544,21217,RED RETROSPOT ROUND CAKE TINS,1,2010-01-12 14:32:00,21.23,,UNITED KINGDOM,False,False,21.23
536544,21218,RED SPOTTY BISCUIT TIN,1,2010-01-12 14:32:00,8.47,,UNITED KINGDOM,False,False,8.47
536544,21258,VICTORIAN SEWING BOX LARGE,1,2010-01-12 14:32:00,25.49,,UNITED KINGDOM,False,False,25.49
536544,21349,IVY HEART WREATH,1,2010-01-12 14:32:00,13.57,,UNITED KINGDOM,False,False,13.57
536544,21366,MIRRORED WALL ART PHOTO FRAMES,1,2010-01-12 14:32:00,8.47,,UNITED KINGDOM,False,False,8.47
536544,21407,BROWN CHECK CAT DOORSTOP,2,2010-01-12 14:32:00,8.47,,UNITED KINGDOM,False,False,16.94
536544,21408,SPOTTY PINK DUCK DOORSTOP,1,2010-01-12 14:32:00,8.47,,UNITED KINGDOM,False,False,8.47
536544,21488,RED WHITE SCARF  HOT WATER BOTTLE,1,2010-01-12 14:32:00,8.47,,UNITED KINGDOM,False,False,8.47
536544,21523,DOORMAT FANCY FONT HOME SWEET HOME,1,2010-01-12 14:32:00,14.43,,UNITED KINGDOM,False,False,14.43
536544,21658,GLASS  BEURRE DISH,1,2010-01-12 14:32:00,8.47,,UNITED KINGDOM,False,False,8.47
536544,21662,VINTAGE GLASS COFFEE CADDY,2,2010-01-12 14:32:00,11.87,,UNITED KINGDOM,False,False,23.74
536544,21706,FOLDING UMBRELLA RED/WHITE POLKADOT,2,2010-01-12 14:32:00,10.17,,UNITED KINGDOM,False,False,20.34
536544,21742,LARGE ROUND WICKER PLATTER,1,2010-01-12 14:32:00,12.72,,UNITED KINGDOM,False,False,12.72
536544,21758,VINTAGE SHELLS PRINT,1,2010-01-12 14:32:00,12.72,,UNITED KINGDOM,False,False,12.72
C536548,22767,TRIPLE PHOTO FRAME CORNICE,-2,2010-01-12 14:33:00,9.95,12472,GERMANY,True,True,-19.9
C536548,22168,ORGANISER WOOD ANTIQUE WHITE,-2,2010-01-12 14:33:00,8.5,12472,GERMANY,True,True,-17.0
536551,22625,RED KITCHEN SCALES,1,2010-01-12 14:34:00,8.5,17346,UNITED KINGDOM,True,False,8.5
536556,21843,RED RETROSPOT CAKE STAND,1,2010-01-12 14:38:00,10.95,17643,UNITED KINGDOM,True,False,10.95
536557,21258,VICTORIAN SEWING BOX LARGE,1,2010-01-12 14:41:00,12.75,17841,UNITED KINGDOM,True,False,12.75
536557,22941,CHRISTMAS LIGHTS 10 REINDEER,1,2010-01-12 14:41:00,8.5,17841,UNITED KINGDOM,True,False,8.5
536557,84352,SILVER CHRISTMAS TREE BAUBLE STAND,1,2010-01-12 14:41:00,16.95,17841,UNITED KINGDOM,True,False,16.95
536558,22802,FAUX FUR CHOCOLATE THROW,5,2010-01-12 14:48:00,19.95,,UNITED KINGDOM,False,False,99.75
536560,22847,BREAD BIN DINER STYLE IVORY,4,2010-01-12 15:00:00,14.95,13093,UNITED KINGDOM,True,False,59.8
536560,22846,BREAD BIN DINER STYLE RED,4,2010-01-12 15:00:00,14.95,13093,UNITED KINGDOM,True,False,59.8
536562,22752,SET 7 BABUSHKA NESTING BOXES,2,2010-01-12 15:08:00,8.5,13468,UNITED KINGDOM,True,False,17.0
536562,22423,REGENCY CAKESTAND 3 TIER,2,2010-01-12 15:08:00,12.75,13468,UNITED KINGDOM,True,False,25.5
536562,37449,CERAMIC CAKE STAND + HANGING CAKES,2,2010-01-12 15:08:00,9.95,13468,UNITED KINGDOM,True,False,19.9
536563,22941,CHRISTMAS LIGHTS 10 REINDEER,1,2010-01-12 15:08:00,8.5,17760,UNITED KINGDOM,True,False,8.5
536564,37449,CERAMIC CAKE STAND + HANGING CAKES,4,2010-01-12 15:08:00,9.95,13468,UNITED KINGDOM,True,False,39.8
536569,22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,1,2010-01-12 15:35:00,8.5,16274,UNITED KINGDOM,True,False,8.5
536569,22622,BOX OF VINTAGE ALPHABET BLOCKS,1,2010-01-12 15:35:00,9.95,16274,UNITED KINGDOM,True,False,9.95
536569,22765,NEWSPAPER STAND,1,2010-01-12 15:35:00,14.95,16274,UNITED KINGDOM,True,False,14.95
536569,22635,CHILDS BREAKFAST SET DOLLY GIRL,1,2010-01-12 15:35:00,9.95,16274,UNITED KINGDOM,True,False,9.95
536569,22946,WOODEN ADVENT CALENDAR CREAM,1,2010-01-12 15:35:00,16.95,16274,UNITED KINGDOM,True,False,16.95
536569,21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,1,2010-01-12 15:35:00,12.75,16274,UNITED KINGDOM,True,False,12.75
536569,22767,TRIPLE PHOTO FRAME CORNICE,1,2010-01-12 15:35:00,9.95,16274,UNITED KINGDOM,True,False,9.95
536569,22941,CHRISTMAS LIGHTS 10 REINDEER,1,2010-01-12 15:35:00,8.5,16274,UNITED KINGDOM,True,False,8.5
536569,M,MANUAL,1,2010-01-12 15:35:00,18.95,16274,UNITED KINGDOM,True,False,18.95
536569,21761,WOOD AND GLASS MEDICINE CABINET,1,2010-01-12 15:35:00,29.95,16274,UNITED KINGDOM,True,False,29.95
536570,21781,MA CAMPAGNE CUTLERY BOX,2,2010-01-12 15:35:00,14.95,14496,UNITED KINGDOM,True,False,29.9
536582,22634,CHILDS BREAKFAST SET SPACEBOY,2,2010-01-12 16:21:00,9.95,12947,UNITED KINGDOM,True,False,19.9
536582,22635,CHILDS BREAKFAST SET DOLLY GIRL,2,2010-01-12 16:21:00,9.95,12947,UNITED KINGDOM,True,False,19.9
536585,37449,CERAMIC CAKE STAND + HANGING CAKES,2,2010-01-12 16:24:00,9.95,17460,UNITED KINGDOM,True,False,19.9
536586,22846,BREAD BIN DINER STYLE RED,8,2010-01-12 16:25:00,14.95,18229,UNITED KINGDOM,True,False,119.6
536586,22848,BREAD BIN DINER STYLE PINK,8,2010-01-12 16:25:00,14.95,18229,UNITED KINGDOM,True,False,119.6
536587,22752,SET 7 BABUSHKA NESTING BOXES,2,2010-01-12 16:33:00,8.5,14142,UNITED KINGDOM,True,False,17.0
536590,21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,1,2010-01-12 16:52:00,12.75,13065,UNITED KINGDOM,True,False,12.75
536590,22776,SWEETHEART CAKESTAND 3 TIER,1,2010-01-12 16:52:00,9.95,13065,UNITED KINGDOM,True,False,9.95
536590,22622,BOX OF VINTAGE ALPHABET BLOCKS,2,2010-01-12 16:52:00,9.95,13065,UNITED KINGDOM,True,False,19.9
536590,21055,TOOL BOX SOFT TOY,1,2010-01-12 16:52:00,8.95,13065,UNITED KINGDOM,True,False,8.95
536591,37449,CERAMIC CAKE STAND + HANGING CAKES,1,2010-01-12 16:57:00,9.95,14606,UNITED KINGDOM,True,False,9.95
536592,20700,GREEN CAT FLORAL CUSHION COVER,1,2010-01-12 17:06:00,10.17,,UNITED KINGDOM,False,False,10.17
536592,20780,BLACK EAR MUFF HEADPHONES,1,2010-01-12 17:06:00,11.02,,UNITED KINGDOM,False,False,11.02
536592,21055,TOOL BOX SOFT TOY,2,2010-01-12 17:06:00,16.98,,UNITED KINGDOM,False,False,33.96
536592,21109,"LARGE CAKE TOWEL, CHOCOLATE SPOTS",1,2010-01-12 17:06:00,13.57,,UNITED KINGDOM,False,False,13.57
536592,21110,LARGE CAKE TOWEL PINK SPOTS,2,2010-01-12 17:06:00,13.57,,UNITED KINGDOM,False,False,27.14
536592,21128,GOLD FISHING GNOME,1,2010-01-12 17:06:00,12.72,,UNITED KINGDOM,False,False,12.72
536592,21257,VICTORIAN SEWING BOX MEDIUM,2,2010-01-12 17:06:00,16.13,,UNITED KINGDOM,False,False,32.26
536592,21258,VICTORIAN SEWING BOX LARGE,3,2010-01-12 17:06:00,25.49,,UNITED KINGDOM,False,False,76.47
536592,21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,1,2010-01-12 17:06:00,25.49,,UNITED KINGDOM,False,False,25.49
536592,21349,IVY HEART WREATH,3,2010-01-12 17:06:00,13.57,,UNITED KINGDOM,False,False,40.71
536592,21488,RED WHITE SCARF  HOT WATER BOTTLE,1,2010-01-12 17:06:00,8.47,,UNITED KINGDOM,False,False,8.47
536592,21524,DOORMAT SPOTTY HOME SWEET HOME,1,2010-01-12 17:06:00,14.43,,UNITED KINGDOM,False,False,14.43
536592,21537,RED RETROSPOT PUDDING BOWL,2,2010-01-12 17:06:00,8.47,,UNITED KINGDOM,False,False,16.94
536592,21658,GLASS  BEURRE DISH,1,2010-01-12 17:06:00,8.47,,UNITED KINGDOM,False,False,8.47
